date UTC,lat,lon,prof,mag,location
2022-03-31 12:00:00,38.692,-28.165,13,2.1,Ilha de S. Jorge (W)
2022-03-31 10:57:00,38.555,-27.975,16,2.1,Canal de S. Jorge
2022-03-31 08:48:00,38.69,-28.169,8,2.1,Ilha de S. Jorge (W)
2022-03-31 00:46:00,38.693,-28.204,5,2.1,Ilha de S. Jorge (W)
2022-03-30 23:31:00,38.731,-28.298,6,3.6,Ilha de S. Jorge (W)
2022-03-30 15:39:00,38.694,-28.192,9,2.4,Ilha de S. Jorge (W)
2022-03-30 15:36:00,38.684,-28.186,7,2.0,Ilha de S. Jorge (W)
2022-03-30 14:21:00,38.692,-28.175,7,2.0,Ilha de S. Jorge (W)
2022-03-30 13:46:00,38.747,-28.309,5,2.5,Ilha de S. Jorge (W)
2022-03-30 12:56:00,38.703,-28.204,12,2.3,Ilha de S. Jorge (W)
2022-03-30 10:08:00,38.748,-28.309,5,2.1,Ilha de S. Jorge (W)
2022-03-30 08:57:00,38.691,-28.19,8,2.1,Ilha de S. Jorge (W)
2022-03-30 06:57:00,38.682,-28.171,8,2.1,Ilha de S. Jorge (W)
2022-03-30 05:39:00,38.697,-28.199,10,2.2,Ilha de S. Jorge (W)
2022-03-30 04:42:00,38.692,-28.178,10,2.0,Ilha de S. Jorge (W)
2022-03-30 04:02:00,38.695,-28.214,12,2.1,Ilha de S. Jorge (W)
2022-03-30 03:10:00,38.7,-28.196,10,2.2,Ilha de S. Jorge (W)
2022-03-30 00:18:00,38.69,-28.2,11,2.0,Ilha de S. Jorge (W)
2022-03-29 21:56:00,38.686,-28.215,10,4.0,Ilha de S. Jorge (W)
2022-03-29 19:35:00,38.696,-28.205,12,2.2,Ilha de S. Jorge (W)
2022-03-29 19:30:00,38.682,-28.179,9,2.2,Ilha de S. Jorge (W)
2022-03-29 19:29:00,38.693,-28.166,8,2.1,Ilha de S. Jorge (W)
2022-03-29 19:20:00,38.689,-28.195,11,2.5,Ilha de S. Jorge (W)
2022-03-29 19:18:00,38.692,-28.216,7,2.0,Ilha de S. Jorge (W)
